Z ID,SMILES,RT,ECP
Z1480640346,CN1N=C(Br)C=C1C(=O)O,0.9126,1.3285
Z33546660,NC(=O)C=1C=NC=C(Br)C1,0.5824,1.1391
Z1545032025,COC=1C=C2N=C(Cl)N=C(Cl)C2=CC1OC,1.3697,1.3646
Z1509575453,BrC=1C=CN=C(OCC=2C=CC=CC2)C1,1.5488,1.2728
Z90661818,Cl.ClCC1=CN2C=CC=CC2=N1,0.4802,1.3209
Z754931264,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,0.8029,1.332
Z1171196016,CCOC(=O)CC(=O)COCC=1C=CC=CC1,1.2132,1.2632
Z56827034,CC(=O)CC(=O)N1CCOCC1,0.3457,1.05
Z1255446009,CC=1C=CC(O)=CC1O,0.7221,1.2668
Z1508919054,COC(=O)CCC=1C=CC(=CC1)C(=O)O,0.7278,0.9621
Z1198180781,NC=1N=CC(Br)=CC1C#N,0.9659,1.2791
Z3326032476,CN1N=C(C=C1I)C(=O)O,0.9462,1.4064
Z317078348,OC(=O)C=1C=C(F)C=CC1I,1.1187,1.3313
Z56791151,NC1=NN=C(S1)C(F)(F)F,0.6986,1.1935
Z104474140,OP(=O)(O)O,0.1394,1.009
Z1198160007,CC1=CSC=C1C(=O)O,1.0595,1.3744
Z425387750,Cl.Cl.C1CCN2CCNCC2C1,0.1317,1.3392
Z1197885425,N#CC=1N=CNC1C#N,0.35,1.0106
Z1509538917,IC1CN(C1)C(=O)OCC=2C=CC=CC2,1.1607,1.0873
Z90122374,CC=1C=C2N=C(C)C(CCC(=O)O)=C(C)N2N1,0.8557,1.125
Z3016681321,Cl.NCC1CCC(F)(F)CC1,0.1387,0.9656
Z220383472,CN1N=CC=2C(=O)NC=NC12,0.4683,1.1438
Z1123720067,OC(=O)[C@H](CC=1C=CC(O)=CC1)NC(=O)OCC2C=3C=CC=CC3C=4C=CC=CC24,1.3204,1.3471
Z1255450010,OC=1C=CC(=CC1O)[N+](=O)[O-],0.8771,1.3783
Z1255364678,C1CN2CCC1CC2,0.1351,1.0362
Z56924492,NNC(=O)C=1C=CC=C(C1)S(=O)(=O)NCC=2C=CC=CC2,0.9608,1.3162
Z53116251,OC(=O)CCNCC=1C=CC=CC1,0.4264,1.1347
Z1251352419,C1CC1C2=NC=CO2,0.8896,1.331
Z8870277606,CN(C)CC1(C)CNC1.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F,0.1075,1.0992
Z4985952072,Cl.O=C1N(C2CCC(=O)NC2=O)C(=O)C=3C1=CC=CC3N4CCNCC4,0.758,1.3744
Z1198232670,CC=1C=C(O)C=C(C1)C(=O)O,0.7022,1.1163
Z8826139769,ClC=1N=CC=CC1SSC=2C=CC=NC2Cl,1.3826,1.2041
Z797584932,NC(=O)N(CCO)CCO,0.1418,0.9101
Z3006433127,Cl.C1NC[C@@H]2OCCO[C@H]12,0.135,1.0974
Z104480184,NC=1C(I)=C(C(=O)O)C(I)=C(C(=O)O)C1I,0.4502,1.2265
Z2677543222,NCCCCCNC(=O)OCC=1C=CC=CC1,0.6807,1.1119
Z2867667490,Cl.N=C1CSCCN1,0.1306,1.1676
Z1269188736,OC(=O)C=1C=CN=C(Cl)C1Br,0.7043,1.3384
Z1269234992,BrC1=CC(I)=CNC1=O,0.9802,1.3394
Z1269227518,CC1=NC=2C(Br)=CC=CC2N1,0.7481,1.3366
Z1459993590,Cl.OC(=O)CN1CCS(=O)CC1,0.1254,1.1818
Z1198152168,NNC=1C=CC=C(F)N1,0.2378,1.3648
Z90123614,Cl.CCNC1CCS(=O)(=O)C1,0.1491,1.3297
Z53033942,OC(=O)C=1C=CC(=CC1)S(=O)(=O)N2CCCCC2,0.9904,1.1534
Z1741980200,Cl.NCC1=COC=N1,0.155,1.2111
Z56922114,NC=1C=CC(=CC1)C(O)(C(F)(F)F)C(F)(F)F,1.1235,1.3003
Z1198157722,O=C1CCC(N1)C=2C=CC=CC2,0.807,1.1092
Z4920928655,Cl.CC1(C)CNCCC(=O)N1,0.1486,1.308
Z2311227716,"O=C1NC[C@@H]2CNC[C@@H]21 |&1:4,8,r|",0.1384,1.3299
Z56797275,OC(=O)C=1C=CC=CC1NC=2C=CC=C(C2)C(F)(F)F,1.4997,1.3423
Z1551951234,COC(=O)C=1C=C(C)C(N)=C(F)C1,1.0414,1.2135
Z55148709,OC(=O)CCC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2,1.021,1.3645
Z1203583792,CC(N)C(C)(C)CO,0.1863,1.1583
Z56968523,NCCSC=1C=CC(Br)=CC1,0.8031,1.3323
Z2239077968,C(NC=1C=CC=CC1)C2=CNC=N2,0.4971,1.1517
