Z ID,SMILES,RT,ECP
Z52005875,COC=1C=CC(OC)=C(C1)C(=O)N2CCN(CC2)C=3C=CC(F)=CC3,1.2488,1.2161
Z240373950,CC=1OC(=NC1CC(=O)N(CC2CCCO2)CC3=NC=4C=CC=CC4C(=O)N3)C5=CC=CS5,1.209,1.2296
Z49600443,COC=1C=CC(O)=C(C=NNC=2C=CC(Cl)=C(C2)C(=O)O)C1,1.109,1.142
Z228126242,CS(=O)(=O)N1CCC(CC1)C(=O)NCCC=2C=CC=C(Cl)C2,1.0939,1.2382
Z397785198,CCN(CC)C(=O)N1CCN(CC1)C=2C=CC3=NN=NN3N2,1.0001,1.2407
Z16546212,CC=1C=CC(NC(=O)COC(=O)C=2C=CC=3C(=O)N(CCC=4C=CC=CC4)C(=O)C3C2)=C(C)C1,1.4382,1.218
Z271482706,CCCNC(=O)CN1CCN(CC1)C2=NC=3C=CC=CC3O2,0.851,1.215
Z31164775,CN(CC=1C=CC(F)=CC1)C=2N=CN=C3C=C(SC23)C=4C=CC(F)=CC4,1.243,1.225
Z16426565,CC(=O)C1=C(C)NC(C(=O)CSC2=NN=C(C=3C=CC=CC3F)N2CCC=4C=CC=CC4)=C1C,1.3064,1.2334
Z27676860,CC1=C(NC(=O)C=2C=CC=C(NC(=O)COC=3C=CC(C#N)=CC3)C2)C(=O)N(C=4C=CC=CC4)N1C,0.8977,1.2309
Z994161514,CC=1C=CC(=CC1)C2=NC(CCNC(=O)C=3C=CC=C[N+]3[O-])=CS2,1.2355,1.2654
Z207320408,COC=1C=CC(=CC1)C=2N=C(SCC(=O)NC3CCCCC3C)NC(=O)C2C#N,1.1828,1.1804
Z364380526,FC=1C=C(Br)C=CC1C(=O)NCCCN2CCC=3C=CC=CC3C2,0.9251,1.2137
Z193940506,CC(SC1=NC=2SC=C(C=3C=CC(F)=CC3)C2C(=O)N1)C=4N=C(N)N=C(N4)N(C)C,1.3206,1.2535
Z224573748,CC1=C(C)N(C2CCCC2)C(NC(=O)CN3CCN(CC(=O)NC(C)(C)C)CC3)=C1C#N,1.0464,1.2629
Z606141978,BrC=1C=CC(=CC1)C2(CC2)NS(=O)(=O)CC=3C=CC=CC3,1.338,1.2155
Z20239092,O=C(CSC1=NN=C2SC=3C=CC=CC3N12)NC4CCCC4,1.0757,1.217
Z220817636,CC1=NOC=2N=C(C=C(C(=O)N3CCCC(C3)C(=O)N)C12)C4CC4,0.9857,1.2476
Z99135299,CCOC(=O)C=1C=C(C)N(CC(=O)N2CCN(CC2)C=3N=CC=CN3)C1C,1.0875,1.1778
Z333377702,OC=1C=C2C=CC=CC2=CC1C(=O)N3CCOC(C3)C=4C=CC(F)=CC4,1.2083,1.1727
Z406391200,NC(=O)C=1C=CC=CC1OCC=2C=CC(Cl)=C3C=CC=NC23,1.2821,1.2466
Z436971744,CC1=NN(C)C=2SC(=CC12)C(=O)N3CCCSCC3,0.7347,1.1479
Z319132312,ClC=1C=CC=2N=C(CN3CCN(CC3)C(=O)C4CCCC4)NC(=O)C2C1,1.061,1.2162
Z285895586,CN(CC=1C=CC(F)=CC1F)C=2C=NC=3C=CC=CC3N2,1.4253,1.2312
Z63644804,FC=1C=CC(=CC1)N2C=NC=C2C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC(F)=CC4,1.0775,1.2471
Z18797970,ClC=1C=NC(NC(=O)COC(=O)C=2C=C(N=C3C=CC=CC23)C4=CC=CO4)=C(Cl)C1,1.4002,1.2356
Z197595986,O=C1NC(CSC2=NN=C(NCCC3=CC=CS3)S2)=NC=4C=CSC14,1.0219,1.1808
Z414908956,CCOCCCN(CC(F)(F)F)C(=O)C=1C=C(N=C2N(CC)N=CC12)C=3C=CC=CC3,1.5461,1.2637
Z13966682,CC1CCC2=C(C1)SC=3N=C(SCC(=O)NC=4C(C)=CC=CC4C)N(C=5C=CC=CC5)C(=O)C23,1.5914,1.2354
Z363317798,CCOC=1C=C(C#N)C=C(Br)C1OC(=O)C=2C=C(C)N=C3C=C(F)C=CC23,1.5867,1.2627
Z367281672,CNC(=O)C1CCCCN1C(=O)C2=CSC(=N2)C=3C=CC=CC3,1.1579,1.2491
Z666049806,CC1=NC2=NC(SCC3=CSC(=N3)C(C)(C)C)=NN2C(C)=C1C,1.359,1.2435
Z19656459,O=C(CSC1=NN=NN1C=2C=CC=CC2)N3CCNC3=O,0.9572,1.1833
Z104924456,O=C(CN1CCN(CC1)C=2N=CC=CN2)NN3C(=O)NC4(CCCCC4)C3=O,0.7377,1.1803
Z192742106,ClC=1C=C(Cl)C=C(C=CC(=O)NNC(=O)C2COC=3C=CC=CC3O2)C1,1.3098,1.2362
Z46152185,ClC(=CC=1C=CC=2OCCOC2C1)C3=NC=4C=CC=CC4C(=O)N3,1.2331,1.1747
Z45973362,CC(OC=1C=CC(=CC1)C(=O)C=CC2=CN(CC=3C=CC=CC3)N=C2C=4C=CC=NC4)C(=O)O,1.0744,1.1148
Z251191318,CCC=1N=NSC1C(=O)NCC(N(C)C)C=2C=CC=CC2Cl,0.8081,1.2381
Z666558830,CCC1=CC=2C(=O)NC(CC(=O)C3=CNC=4C=CC=CC34)=NC2S1,1.1357,1.2273
Z16013507,CCNC(=O)CSC1=NN=C(C=2C=CC=CC2Cl)N1C=3C=CC=C(C3)C(F)(F)F,1.2262,1.2129
Z228464732,O=C(CN1C=NC(C#N)=N1)C=2C=CC=3OCCOC3C2,1.0809,1.2516
Z1519562743,CC1CCN(CC1)S(=O)(=O)CC=2C=CC=CC2CNC(=O)C=3C=CC=C(C3)N(C)C,1.3688,1.2399
Z595351908,CCOC(=O)C=1C=CN(N1)C=2C=CC=C(NC(=O)N3CCCC3C4=CC(C)=NO4)C2,1.2056,1.2309
Z574176250,FC=1C=CC(C(=O)NC=2C=CC=C(C2)N3CCCC3)=C(Cl)C1,1.3954,1.2535
Z105650998,CCCN1C(CN(CC2=CC=CO2)CC3=CC=CO3)=NC=4C=C(C=CC14)S(=O)(=O)N(C)C,1.3914,1.2771
Z30614340,CCOC(=O)N1CCN(CC1)C(=O)C=2C=CC(=CC2)S(=O)(=O)N3CCCCCC3,1.2504,1.2279
Z225094506,O=C(NC=1C=CC=2OCOC2C1)C3CCN(CC3)C(=O)C=4C=CC(CN5C=CC=N5)=CC4,1.0563,1.216
Z223833764,CN1CCN(CC1)C=2C=CC(NC(=O)C3=CC=4C=CC=CC4S3)=CN2,0.9437,1.2664
Z225251838,FC=1C=CC=CC1C2=CN=C(CCC(=O)NNC(=O)C3=CSC(=N3)N4CCOCC4)O2,1.0949,1.1763
Z73471130,CN(CC=1C(C)=NN(C1C)C=2C=CC=CC2)C(=O)CCC=3C=CSC3,1.2125,1.1639
Z199726436,CCCN(CC(=O)NC1C=2C=CC=CC2C=3C=CC=CC13)CC(=O)NC=4C=CC=CC4C,1.3413,1.2273
Z26695190,CN(CC1=CC=C(C)O1)C(=O)CSC2=NC=3C=CC=CC3O2,1.2936,1.2132
Z57055105,Cl.CCC(=O)NC=1C=CC(=CC1)C2=CSC(NC(C)C=3C=CC=CC3)=N2,1.2168,1.2164
Z730715944,CC(C)C(NC(=O)CN1N=C(C=CC1=O)C=2C=CC=CC2)C=3C=CC=CC3,1.293,1.2309
Z26403677,CC(=O)NC1=NC=2C=CC(C)=CC2S1,1.0599,1.2153
Z18306891,FC=1C=CC(=CC1S(=O)(=O)N2CCOCC2)C(=O)OCC(=O)C=3C=CC=CC3,1.2589,1.2159
Z384355734,CCOC=1N=CC=CC1C(=O)NCC=2C=CC(=CC2)N3CCCC3,1.3953,1.2499
Z765241964,COC(=O)C(C)(C)NC(=O)C=1C=CC(F)=CC1I,1.0983,1.2145
Z44459197,CN(CC=1C=CC(F)=CC1)CC2=NC=3C=CC=CC3C(=O)N2,0.8748,1.2612
Z873000516,O=C(CCC=1C=CC=CC1)N2CCN(CC2)C=3N=CN=C4N=CNC34,0.9729,1.2517
Z19900520,COC=1C=CC(=CC1)C2=NN=C(SC(C)C3=NC=4C=CC=CC4C(=O)N3)N2C,1.1029,1.2366
Z18695733,CNC(=O)COC(=O)C=1C=CC(Cl)=C(C1)S(=O)(=O)N2CCCCCC2,1.2159,1.2115
Z19650595,COC=1C=CC=CC1NC(=O)CSC2=NC=3C=CC=CC3N2,1.0873,1.2164
Z15468102,CC1=C(OC=2C=CC(Br)=CC12)C(=O)OCC(=O)NNC(=O)C=3C=CC(Br)=CC3,1.3839,1.2662
Z272107520,ClC=1C=CC(=CC1)C(=O)C=2C=CC=CC2C(=O)NCC=3C=CC(CN4C=CN=C4)=CC3,1.0164,1.2357
Z125915638,O=C(CN1CCN(CC(=O)N2CCOCC2)CC1)NC(=O)NCC3=CC=CS3,0.7713,1.2547
Z45698958,CC=1C=CC(NS(=O)(=O)C=2C=CC(OC(F)(F)F)=CC2)=C(F)C1,1.3068,1.1415
Z102609928,CC(C)(C)NC(=O)CNC(=O)C1=CC=2C=CC=CC2S1,1.1614,1.2314
Z20249388,O=C(CSC1=NN=C(C2=CC=CO2)N1C=3C=CC=CC3)N4CCC=5C=CC=CC5C4,1.2476,1.2137
Z15906196,FC=1C=CC=CC1C2=NN=C(SCC(=O)NC=3SC=4CCCCCC4C3C#N)N2C5CCCC5,1.5524,1.2127
Z167557828,CC1=NC(=CS1)C=2C=CC=3N(CCC3C2)C(=O)C=4C=CN=C(Cl)C4,1.2431,1.1809
Z66892913,CC(SC=1C=CC(=CN1)C(F)(F)F)C(=O)NC=2C=CC=CC2,1.3776,1.2155
Z28251196,O=C(N1CCOCC1)C=2C=CC=NC2SC=3C=CC=4OCCOC4C3,1.0741,1.2649
Z164917678,O=C(NC1=NC=2CCCC2S1)C=3C=C(ON3)C=4C=CC=CC4,1.3503,1.2407
Z221486706,COC=1C=C(CC(=O)NC=2C=CC=C(C2)C3=NN=NN3C4CC4)C=CC1C,1.222,1.1833
Z31450440,CC(NC(=O)C1=NNC=2C=CC=CC12)C=3C=CC=CC3,1.1849,1.2476
Z355202444,CCC1CN(CCO1)S(=O)(=O)C=2C=CC=3CCCCC3C2,1.4746,1.2639
Z60744774,O=C(NC=1C=CC=CN1)C2C=3C=CC=CC3OC=4C=CC=CC24,1.2233,1.1778
Z959455408,FC(F)(F)S(=O)(=O)C=1N=CC=CC1C(=O)N2CCC(CC=3C=CC=CC3)CC2,1.397,1.2127
Z27727011,CC1CN(CC(C)O1)C(=O)C2=CN(N=C2C=3C=CC(C)=CC3)C=4C=CC=CC4,1.4342,1.2289
Z18716609,CC1=NN(C=2C=CC=CC2)C=3SC(=CC13)C(=O)OCC4=NN=C(O4)C=5C=CC=CC5,1.5853,1.2626
Z19315903,ClC=1C=CC(CSC=2N=CN=C3C=CC=CC23)=CC1Cl,1.6396,1.2642
Z101989380,CC=1C=CC(NC(=O)C2=CN(CC=3C=CC=CC3)N=C2C4=CC=CS4)=CC1S(=O)(=O)N,1.2606,1.2403
Z223761518,FC=1C=CC(CC(=O)NC=2C=CC(NC(=O)C3CC3)=CC2C(F)(F)F)=CC1,1.2031,1.1937
Z25519189,CC(OC(=O)C=1C(C)=NOC1C)C(=O)NC=2C=CC(Cl)=CN2,1.2403,1.2327
Z369149268,COC=1C=CC(C)=CC1NC(=O)CN(C(C)C(C)C)C2CC2,1.4531,1.2335
Z27336567,CCOC(=O)C=1SC(NC(=O)C=CC=2C=CC=CC2[N+](=O)[O-])=CC1C,1.298,1.1915
Z74521057,CC(=O)NC1=NC(CSC=2N=C3CCCC3=C(C)C2C#N)=CS1,1.3526,1.3154
Z134713038,COC=1C=C(NC(=O)CN2C(=O)NC(C)(C2=O)C=3C=CC(F)=C(F)C3)C=C(OC)C1,1.1288,1.1747
Z1076381232,CC=1C=CC=CC1C2=NC(=CS2)C(=O)OCCC3=CNN=C3C(F)(F)F,1.3822,1.2347
Z27725978,CC1CN(CC(C)O1)C(=O)C=2C=CC=CC2NC(=O)C=3C=CC=CC3,1.1691,1.2349
Z46413006,COC=1C=C(Cl)C(C)=CC1NC(=O)CN(C)CC(=O)NC=2C=CC(F)=CC2,1.2155,1.2346
Z16285044,CC1=CC(NC(=O)COC(=O)C=2C=CC=C(OCC=3C=CC=CC3)C2)=NO1,1.3319,1.218
Z79462576,CC(=O)NC=1C=CC=C(NC(=O)C2(CC3=NC=4C=CC=CC4S3)CCCC2)C1,1.2266,1.2161
Z104542908,CC1CN(CC(=O)NCCC=2C=CC(OC(F)F)=CC2)CC(C)O1,0.9324,1.2506
Z26715250,O=C(N1CCN(CC=CC=2C=CC=CC2)CC1)C3=CC=4CCCCC4S3,1.103,1.2629
Z316261090,CC(C1CC2CCC1C2)N3C(COC=4C=CC=CC4F)=NN=C3SCC=5C=CC=NC5,1.3049,1.1803
Z29129560,CCN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC(=CC2)C(=O)NC3=NC(CN4CCC(C)CC4)=CS3,1.1323,1.2513
Z15674726,COC=1C=CC(C=C2CC(C)CC=3C(C(=O)OCC#N)=C4C=CC=CC4=NC23)=CC1,1.6104,1.2637
Z19539520,CNC(=O)NC(=O)C(C)OC(=O)C=1C=2CCCC(=CC=3C=CC=4OCOC4C3)C2N=C5C=CC=CC15,1.4316,1.2132
Z131157050,O=C(CCC=1C=NN(C1)C=2C=CC=CC2)NC=3C=CC=CC3,1.2291,1.2479
Z46404501,CC(C)C=1C=CC=CC1NC(=O)CN2CCN(CC2)C(=O)C=3C=CC=CC3,1.0904,1.2263
Z118588692,COC=1C=CC=CC1NC2=NC(=CS2)C=3C=CC=4N(C)C(=O)CC4C3,1.3392,1.2476
Z650188244,CC1N(C(=O)N(CCS(=O)(=O)C)C1=O)C=2C=CC(C)=CC2,1.0247,1.2162
Z223122364,OC(=O)C(CC1=CNC=2C=CC=CC12)NC(=O)NCC(=O)N3CCC=4C=CC=CC34,1.0906,1.2521
Z24955029,CC=1C=CC=C(OCC(=O)OCC(=O)C(=C2NC=3C=CC=CC3N2)C#N)C1C,1.3414,1.2593
Z239550970,OC(=O)C1=NN(C(=O)CC1)C=2C=CC(Br)=CC2,0.7952,1.0336
Z85035870,CC(NC(=O)C=1C=CC=NC1O)C=2C=CC=CC2Br,1.0795,1.2476
Z13723704,CN1C(SCC(=O)NC2CCCCCCC2)=NC=3SC=4CCCCC4C3C1=O,1.5771,1.2362
Z30827357,COC=1C=CC(C=CC(=O)NCCC(=O)NCC=2C=CC=CC2Cl)=CC1,1.1537,1.216
Z146329514,CC(C)N1N=CC=2C=C(NC(=O)C=3C=CC(Cl)=C(Cl)C3)C=NC12,1.36,1.2226
Z62677591,CCOC(=O)C=1C=CC(NC(=O)CC=2C(C)=NOC2C)=CC1,1.1429,1.2296
Z2002316115,COC=1C=CC=CC1NC(=O)C=2C=C(Br)C=C3N=NNC23,1.3364,1.2819
Z31216060,C(NC=1N=C(CSC=2C=CC=CC2)N=C3SC=4CCCC4C13)C=5C=CC=CN5,1.3089,1.243
Z30927935,CCC(=O)NC=1C=C2OC=3C=CC=CC3C2=CC1OC,1.3447,1.235
Z98601179,CSC=1N=C2N=C(C)C(CC(=O)OC(C)C3=NN=C(O3)C=4C=CC=CC4)=C(C)N2N1,1.1656,1.1778
Z18785334,ClC1=C(SC=2C=CC=CC12)C(=O)OCC(=O)NC=3C=CC=CC3SC=4C=CC=CC4,1.6605,1.225
Z279627306,FC=1C=C(C=C2CCN3C2=NC=4C=C(C=CC4C3=O)C(F)(F)F)C=CC1N5C=CN=C5,1.1127,1.2102
Z18556209,CC=1C=CC(C(=O)OCC(=O)NC=2C=CC(Cl)=CN2)=C(C)C1,1.3858,1.2169
Z228464764,NC(=O)C=1C=CSC1NC(=O)CN2C=NC(C#N)=N2,0.8791,1.2516
Z31484018,ClC=1C=CC=CC1NS(=O)(=O)C=2C=CC(C=CC(=O)NC3CCCCC3)=CC2,1.3275,1.2161
Z365023006,CCC(C)C(=O)NC=1C=C2NC(=O)CCC2=CC1F,0.9677,1.2161
Z2038291947,CC(=O)NC1=NC=C(S1)S(=O)(=O)NC=2NN=C(C2C)C=3C=CC=CC3,1.0204,1.2175
Z46163542,CCN1C(CN2CC(C)OC(C)C2)=NC=3C=C(C=CC13)S(=O)(=O)N(C)C,0.9349,1.2268
Z28130573,CC=1C=C(C)C(NC(=O)C=2C=CC(Cl)=C(C2)S(=O)(=O)N3CCCC3)=C(C)C1,1.3906,1.2492
Z319903798,CC(=O)NCCCNS(=O)(=O)C=1C=CC=2CCCC2C1,0.9466,1.1739
Z255747436,COC=1C=CC=2N=C(NC(=O)C=3C=CC=C(C3)S(=O)(=O)NCCC#N)SC2C1,1.1942,1.2719
Z218100624,CC(C)N1N=CC=2C=C(C=NC12)C(=O)NC3=NC(=CS3)C=4C=CC=C(C4)[N+](=O)[O-],1.4371,1.231
Z19820148,[O-][N+](=O)C=1C=C(C=CC1N2CCCC2)C(=O)OCCOC=3C=CC(C#N)=CC3,1.3784,1.1749
Z96381833,CC(C)[C@H](NC(=O)OCC=1C=CC=CC1)C(=O)OCC2=CC(=O)OC=3C=CC=4C=CC=CC4C23,1.4818,1.2406
Z115128424,O=C(NC1=C(OC=2C=CC=CC12)C(=O)N3CCOCC3)C=4C=C(N=C5C=CC=CC45)C6=CC=CO6,1.3739,1.2321
Z30981486,CC=1C=CC=C(NC(=O)CN2CCN(CC2)C=3C=CC=CC3Cl)C1,1.0472,1.225
Z96004122,BrC1=CC=C(S1)C2=CSC(NC(=O)C=3C=NC=CN3)=N2,1.3796,1.2286
Z18323674,O=C(COC(=O)C=1C=CC=C(C1)S(=O)(=O)N2CCOCC2)N3C=4C=CC=CC4SC=5C=CC=CC35,1.396,1.2159
Z13991462,CC=1C=CC(=CC1)C(=O)CN2C(=O)N(CC=3C=CC=CC3)C=4N=CN(CC=5C=CC=CC5)C4C2=O,1.4907,1.2471
Z280818850,CNS(=O)(=O)C=1C=C(C(=O)N(C)C(C)C2CC2)N(C)C1,0.9901,1.2472
Z30860228,CC=1C=CC(=CC1C(=O)OC=2C=CC(Cl)=C(Cl)C2)S(=O)(=O)N3CCOCC3,1.4953,1.2311
Z227899238,ClC=1C=C(NS(=O)(=O)C=2C=CC=3CCCCC3C2)C=CC1N4CCCC4=O,1.2889,1.2239
Z26477053,CC=1C=CC(NC(=O)CCCNC(=O)C=2C=CC(Cl)=CC2)=CC1S(=O)(=O)N3CCOCC3,1.1966,1.2382
Z13679372,COCCN1C(SCC(=O)N2C(C)CCCC2C)=NC=3SC=4CCCCC4C3C1=O,1.5476,1.1915
Z16600634,CC(C)N(C=1C=CC=CC1)C=2C=CC(NC(=O)COC(=O)C3=NN(C)C(=O)C=4C=CC=CC34)=CC2,1.4168,1.218
Z238304988,CCOC(=O)C=1C=CC(C#N)=C(SCC=2C=CC=CC2C)N1,1.5326,1.252
Z223839992,COC=1C=CC=C(NC(=O)C2=CC=3C=CC=CC3NC2=O)C1,1.2192,1.2737
Z335929194,ClC=1C=CC=2C(=O)N(CC3=NC=4C=CC=CC4O3)C=NC2C1,1.2652,1.2668
Z822926546,COC=1C=CC(=CC1)C2=CSC(=N2)C(C#N)C(=O)C=3C=CC=CC3,1.3495,1.1733
Z594800666,CC(C)C1=NN=C(NC(=O)N(CC2=CC=C(C)O2)C3CC3)S1,1.2902,1.252
Z28581665,O=C(CC=1C=CC=2OCCOC2C1)N3CCN(CC4=NC=5C=CC=CC5S4)CC3,1.0873,1.1803
Z24540488,CC=1C=CC=C(C)C1NC(=O)CSC2=NN=C(C=3C=CC(Cl)=CC3)N2CC=4C=CC=CC4,1.341,1.1809
Z45660366,CC=1C=CC(=CC1)S(=O)(=O)NC=2C=CC=CC2N3CCOCC3,1.3089,1.217
Z90738473,COC=1C=C(NC(=O)CCN2C(=O)CC=3C=CC=CC3C2=O)C=C(OC)C1,1.1419,1.2865
Z124427374,COC=1C=C2CCN(CC(=O)NC3=C(C#N)C(C)=C(C)N3CC=4C=CC=CC4)CC2=CC1OC,1.0143,1.2284
Z18363066,O=C(COC(=O)C=1C=CC=2OCOC2C1)N3CCCCC3,1.1221,1.2135
Z44340740,COC=1C=CC(NC(=O)C(=CC2=CC=C(C)S2)C#N)=CC1OC,1.2063,1.1739
Z44544604,BrC=1C=CC(=CC1)S(=O)(=O)N2CCN(CC3=CC(=O)N4C(=CSC4=N3)C=5C=CC=CC5)CC2,1.1499,1.1995
Z14362203,O=C(CSC1=NN=C(C2=CC=CO2)N1CC=3C=CC=CC3)C(=C4NC=5C=CC=CC5N4)C#N,1.2159,1.245
Z375062022,CC=1C=CC(CNC(=O)CCNS(=O)(=O)C)=CC1,0.9227,1.2382
Z45704627,CCOC=1C=CC=CC1NS(=O)(=O)C=2C=CC=CC2F,1.2383,1.179
Z28149469,CSC=1C=CC=C(NC(=O)C=2C=CC=CN2)C1,1.2749,1.232
Z401951982,CC1=CSC(CCNCC=2C=CC(=C(F)C2)N3C=NC=N3)=N1,0.7331,1.2322
Z335449604,NC(=O)C1CC=2C=CC=CC2CN1CC(=O)N3CCN(CC3)C=4C=CC=CC4[N+](=O)[O-],0.9656,1.2165
Z90702100,CC1CN(CC(C)O1)C(=O)C=2C=C(Cl)C=3OCCCOC3C2,1.1966,1.2311
Z19676501,O=C(COC(=O)C=1C=C(N=C2C=CC=CC12)C=3C=CC=CC3)NC4CC4,1.3599,1.2592
Z56954204,NC1=CC(=O)NC(SCC(=O)NC=2C=CC(Br)=CC2Br)=N1,1.0545,1.264
Z29723078,CCCCN(C(=O)C=1C=C(C)OC1C)C2=C(N)N(CC(C)C)C(=O)NC2=O,1.0259,1.2141
Z27039501,CCC(=O)NNC(=O)C=1C=CC(CSC2=NC=3C=CC=CC3N2)=CC1,0.813,1.2771
Z362540396,NC(=O)CCN(C=1C=CC=CC1)S(=O)(=O)C=2C=CC=C(Cl)C2Cl,1.095,1.1749
Z154443090,OCCCN1C(SCC(=O)NC(=O)NCC2=CC=CS2)=NC=3C=CC=CC3C1=O,1.1391,1.2617
Z32751301,CCOCCCNC(=O)C=1C=CC=2C=CC=CC2N1,1.2275,1.2399
Z164740016,CCNC(=O)CCC1=CC=C(O1)C=2C=CC(OC)=CC2,1.1924,1.2315
Z641652744,CN1C(CN2CCN(CC2)C=3C=CC=CC3O)=NC=4C=C(Cl)C=CC14,0.838,1.1591
Z45763778,FC=1C=CC(CNC(=S)NCC2=CC=CS2)=CC1,1.2412,1.2487
Z364378476,O=C(NC=1C=CC=NC1N2C=CC=N2)C=3C=CC=CN3,1.2598,1.2171
Z28714719,CC(C)C(=O)NC1=NC(=CS1)C=2C=CC(F)=C(F)C2,1.2849,1.178
Z326162486,CC(C)C=1C=CC(CCNC(=O)CNC(=O)NC(C)C2CC3CCC2C3)=CC1,1.4369,1.2412
Z26437275,COC=1C=CC=C(C1)C(=O)NCCCC=2C=CC=CC2,1.2491,1.2178
Z92426884,CC=1N=C(SC1C(=O)OCC(=O)NCC2CCCO2)C3=CC=CS3,1.1768,1.214
Z339861340,CC1=CC(NC(=O)NC=2C=CC=C(NC(=O)C=3C=CC=4OCOC4C3)C2)=NO1,1.1674,1.2642
Z1364470457,CC(CN1C=CC=N1)OC(=O)C=2C=CN=CC2,0.8845,1.2277
Z44899049,COC=1C=CC=CC1NC(=S)NN=CC=2C=CC=NC2,1.0189,1.2168
Z119829362,COC=1C=CC=CC1OCCC(=O)NC=2C=CC=C(C2)C(=O)NC3CC3,1.0314,1.1749
Z18369163,COC=1C=CC(NC(=O)COC(=O)C2=CC=C(Br)O2)=CC1OC,1.1254,1.2156
Z203141070,COC1CCN(CC1)C(=O)CCN2N=C(OC2=O)C3=CC=CS3,1.1013,1.2308
Z185187140,CN1C=CN=C1C(NS(=O)(=O)C=2C=CC=3C=CC=CC3C2)C=4C=CC=C(F)C4,0.9828,1.2335
Z256498606,COCCNS(=O)(=O)C=1C=CC(Br)=C(C1)C(=O)NC2=NC(C)=CS2,1.0531,1.1773
Z744282258,CN(CC(=O)NCC1=NN=C2CCCN12)C=3N=CN=C4N=CNC34,0.5467,1.2222
Z97689194,COC=1C=CC=C(C1)N2C=NN=C2SCC=3C=C(ON3)C=4C=CC=CC4,1.2548,1.2165
Z235256900,O=C(NCCC1=NN=C2C=CC=CN12)NCC=3C=CC=CC3,0.738,1.1749
Z13855457,CC(C)(C)C=1C=CC(=CC1)C2=NN=C(SCC(=O)NCC(F)(F)F)N2C=3C=CC=CC3,1.4133,1.2312
Z358292204,CS(=O)(=O)NCC1CCCCN1CC2=CC(=O)N3C=C(Cl)C=CC3=N2,0.6452,1.175
Z18322562,CN1C(=CC(=O)COC(=O)C=2C=CC=C(C2)S(=O)(=O)N3CCOCC3)C(C)(C)C=4C=CC=CC14,1.3873,1.2159
Z50118356,CC1CN(CC=2C=CC(=CC2)C(=O)NC=3C=CC=CC3)CC(C)O1,0.7909,1.1826
Z89727357,CC1=CC(C(=O)CN2C=NC=3SC(C)=C(C)C3C2=O)=C(C)S1,1.3882,1.2492
Z13871991,COC=1C=CC(C(=O)CN2C(=O)NC3(CCCCCC3)C2=O)=C(OC)C1,1.2683,1.2548
Z9073359667,OC(=O)COCCOCCOCCOC=1C=CC(F)=C(Br)N1,1.1745,1.3074
Z237706420,COC=1C=CC(=CC1OC)C2CCCN2C(=O)C=3N=C(C)N(N3)C=4C=CC(F)=CC4,1.1926,1.2406
Z733876068,OC=1C=CC(SCCC(=O)NC2CCCCC2)=CC1,1.0683,1.1747
Z18992958,CC(OC(=O)C1CCN(CC1)S(=O)(=O)C2=CC=CS2)C(=O)NC=3C=CC(NC(=O)C)=CC3,1.1018,1.2302
Z228095216,FC(F)(F)COC=1C=CC(=CN1)C(=O)NC=2C=C(Cl)C=CC2N3C=NC=N3,1.3431,1.2322
Z133811948,ClC=1C=CC=CC1S(=O)(=O)NCC=2C=CC(CN3CCCC3)=CC2,0.8809,1.2749
Z32435538,CC=1C=CC(NC(=O)CCNS(=O)(=O)C=2C=CC=3OCCCOC3C2)=CC1F,1.231,1.2289
Z27623031,CC1=NOC(C)=C1COC=2C=C3C=CC=CC3=CC2C(=O)NCC(N4CCCC4)C5=CC=CO5,1.0664,1.2494
Z441936004,CC1=CN=C(NC(=O)CC=2C=CC(OC(F)(F)F)=CC2)S1,1.3903,1.3211
Z31311469,COC=1C=CC(=CC1OC)C2=NC(=CC=3C=CC=4OCOC4C3)C(=O)O2,1.4352,1.2331
Z423125008,CC1(CC1(Cl)Cl)C(=O)NC=2C=CC=C(C2)N3CCNC3=O,1.0901,1.2618
Z367984100,CN(C1C2CC3CC(C2)CC1C3)C(=O)C4=CC=C(O4)[N+](=O)[O-],1.4178,1.2274
Z1455940153,Cl.Cl.NC(CNC(=O)C1CCCCN1C(=O)C=2C=CC=NC2)C=3C=CC(F)=CC3F,0.7447,1.2349
Z56910013,COCCN=C1SC=C(C=2C=C(OC)C=CC2OC)N1N=CC3=CC=C(O3)[N+](=O)[O-],1.4205,1.233
Z97023980,CN(CCCNC(=O)CSC1=NN=C(C=2C=CC(F)=CC2)N1N)C=3C=CC=CC3,0.9226,1.2331
Z44532879,CC(N1CCN(CC1)C=2C=CC=C(C)C2C)C(=O)NC=3C=CC(=CC3)S(=O)(=O)N,1.0023,1.2749
Z19457387,COC=1C=CC(=CC1OC)C2=NN=C(SC(C)C(=O)N3CCC=4C=CC=CC4C3)O2,1.3036,1.2137
Z133667000,COC=1C=CC(=CC1)S(=O)(=O)NC2=NC(=CS2)C=3C=CC=NC3,0.975,1.264
Z2409651583,CC=1C=C(N2CCCC2CF)C(C#N)=CN1,0.6181,1.2165
Z31238017,NC(=O)C1CCN(CC1)C=2N=C(CN3CCCCC3)N=C4SC=5CCCC5C24,0.9216,1.259
